id,gender,masterCategory,subCategory,articleType,baseColour,season,year,usage,productDisplayName,,,,,,Row Labels,Count of articleType
47154,Girls,Apparel,Bottomwear,Capris,Black,Summer,2012,Casual,Gini and Jony Girls Black Capris,,,,,,Capris,163
54923,Girls,Apparel,Bottomwear,Capris,Olive,Summer,2012,Casual,Do u speak Green Girls Olive 3/4 Pant,,,,,,Jackets,56
47153,Girls,Apparel,Bottomwear,Capris,Pink,Summer,2012,Casual,Gini and Jony Girls Pink Capris,,,,,,Jeans,242
39321,Girls,Apparel,Bottomwear,Capris,Blue,Summer,2012,Casual,Gini and Jony Girls Blue Capris,,,,,,Leggings,174
40145,Girls,Apparel,Bottomwear,Capris,Pink,Summer,2012,Casual,Gini and Jony Girls Kinky Pink Capris,,,,,,Shirts,295
34116,Girls,Apparel,Bottomwear,Capris,Blue,Summer,2012,Casual,Doodle Girls Washed Blue Capris,,,,,,Shorts,105
41312,Girls,Apparel,Bottomwear,Capris,Pink,Summer,2012,Casual,Gini and Jony Girls Fixed Weast Pink Capris,,,,,,Skirts,128
46733,Girls,Apparel,Bottomwear,Capris,Navy Blue,Summer,2012,Casual,Gini and Jony Girls Navy Blue Capris,,,,,,Sweaters,88
41976,Girls,Apparel,Bottomwear,Capris,White,Summer,2012,Casual,Gini and Jony Girls White Pedal Pusher,,,,,,Sweatshirts,59
38506,Girls,Apparel,Bottomwear,Capris,Pink,Summer,2012,Casual,Gini and Jony Girls Woven Pink Pedal Pusher,,,,,,Track Pants,86
42003,Girls,Apparel,Bottomwear,Capris,Black,Summer,2012,Casual,Gini and Jony Girls Elasticated Black Capris,,,,,,Trousers,96
42004,Girls,Apparel,Bottomwear,Capris,Black,Summer,2012,Casual,Gini and Jony Girls Elasticated Black Capris,,,,,,Tshirts,1222
42002,Girls,Apparel,Bottomwear,Capris,Pink,Summer,2012,Casual,Gini and Jony Girls Kinky Pink Capris,,,,,,Tunics,228
40161,Girls,Apparel,Bottomwear,Capris,White,Summer,2012,Casual,Gini and Jony Girls White Pedal Pusher,,,,,,Grand Total,2942
40996,Girls,Apparel,Bottomwear,Capris,Pink,Summer,2012,Casual,Gini and Jony Girls Woven Pink Pedal Pusher,,,,,,,
33272,Girls,Apparel,Bottomwear,Capris,Pink,Summer,2012,Casual,Gini & Jony Girls Pink Pedal Pusher,,,,,,,
41236,Girls,Apparel,Bottomwear,Capris,Black,Summer,2012,Casual,Gini and Jony Kids Girls Black Capris,,,,,,,
39322,Girls,Apparel,Bottomwear,Capris,Blue,Summer,2012,Casual,Gini and Jony Girls Blue Capris,,,,,,,
40147,Girls,Apparel,Bottomwear,Capris,Blue,Summer,2012,Casual,Gini and Jony Girls Blue Pedal Pusher,,,,,,,
47151,Girls,Apparel,Bottomwear,Capris,Black,Summer,2012,Casual,Gini and Jony Kids Girls Black Capris,,,,,,,
40146,Girls,Apparel,Bottomwear,Capris,Black,Summer,2012,Casual,Gini and Jony Girls Elasticated Black Capris,,,,,,,
41311,Girls,Apparel,Bottomwear,Capris,White,Summer,2012,Casual,Gini and Jony Girls Fixed Weast White Capris,,,,,,,
41975,Girls,Apparel,Bottomwear,Capris,White,Summer,2012,Casual,Gini and Jony Girls White Pedal Pusher,,,,,,,
13341,Girls,Apparel,Bottomwear,Capris,Purple,Fall,2011,Casual,Gini and Jony Girls Purple Capris,,,,,,,
41995,Girls,Apparel,Bottomwear,Capris,Blue,Summer,2012,Casual,Gini and Jony Girls Blue Pedal Pusher,,,,,,,
38900,Girls,Apparel,Bottomwear,Capris,Yellow,Summer,2012,Casual,Allen Solly Kids Girls Poplin Yellow Capris,,,,,,,
39337,Girls,Apparel,Bottomwear,Capris,Pink,Summer,2012,Casual,Gini & Jony Girls Pink Pedal Pusher,,,,,,,
46834,Girls,Apparel,Bottomwear,Capris,Blue,Fall,2012,Casual,Gini and Jony Girls Blue Capris,,,,,,,
43589,Girls,Apparel,Bottomwear,Capris,Pink,Summer,2012,Casual,Gini and Jony Girls Fixed Weast Pink Capris,,,,,,,
26983,Girls,Apparel,Bottomwear,Capris,Black,Summer,2012,Casual,Jealous 21 Girls Black Trousers,,,,,,,
40995,Girls,Apparel,Bottomwear,Capris,Pink,Summer,2012,Casual,Gini and Jony Girls Woven Pink Pedal Pusher,,,,,,,
43588,Girls,Apparel,Bottomwear,Capris,White,Summer,2012,Casual,Gini and Jony Girls Fixed Weast White Capris,,,,,,,
42001,Girls,Apparel,Bottomwear,Capris,Pink,Summer,2012,Casual,Gini and Jony Girls Kinky Pink Capris,,,,,,,
46835,Girls,Apparel,Bottomwear,Capris,Blue,Summer,2012,Casual,Gini and Jony Girls Blue Capri,,,,,,,
18002,Women,Apparel,Bottomwear,Capris,Black,Summer,2011,Sports,Puma Women Essential Skinny Black 3/4 Pant,,,,,,,
28458,Women,Apparel,Bottomwear,Capris,Blue,Summer,2012,Sports,Urban Yoga Women Blue Capris,,,,,,,
27417,Women,Apparel,Bottomwear,Capris,Blue,Winter,2015,Casual,Jockey Women Blue Relaxed Capris,,,,,,,
3909,Women,Apparel,Bottomwear,Capris,Red,Summer,2011,Casual,Urban Yoga Women Yoga Red Capri,,,,,,,
4773,Women,Apparel,Bottomwear,Capris,Blue,Summer,2011,Sports,ADIDAS Women 3S Blue Capri,,,,,,,
5809,Women,Apparel,Bottomwear,Capris,Black,Summer,2011,Casual,Puma Women Black Capris,,,,,,,
27029,Women,Apparel,Bottomwear,Capris,Blue,Summer,2012,Casual,Jealous 21 Women Blue Capris,,,,,,,
35940,Women,Apparel,Bottomwear,Capris,Black,Summer,2012,Casual,Flying Machine Women Viscose Black Capris,,,,,,,
27011,Women,Apparel,Bottomwear,Capris,White,Summer,2012,Casual,Jealous 21 Women White Capris,,,,,,,
28461,Women,Apparel,Bottomwear,Capris,Black,Summer,2012,Casual,Urban Yoga Women Black Capris,,,,,,,
27416,Women,Apparel,Bottomwear,Capris,Grey Melange,Winter,2015,Casual,Jockey Women Grey Melange Relaxed Fit Capris 1306,,,,,,,
27418,Women,Apparel,Bottomwear,Capris,Red,Winter,2015,Casual,Jockey Women Red Relaxed Capris,,,,,,,
13282,Women,Apparel,Bottomwear,Capris,Black,Fall,2011,Casual,Gini and Jony Kids Solid Black Capris,,,,,,,
28457,Women,Apparel,Bottomwear,Capris,Black,Summer,2012,Sports,Urban Yoga Women Black Capris,,,,,,,
7502,Women,Apparel,Bottomwear,Capris,Black,Summer,2011,Sports,Nike Women As Classic Black Capri,,,,,,,
27222,Women,Apparel,Bottomwear,Capris,Pink,Summer,2012,Casual,Doodle Kids Girl  Pink Capris,,,,,,,
